set,subset,vocab type,kun,on,meaning,kan
Nakama One,One,Hiragana,,,A,あ
Nakama One,One,Hiragana,,,I,い
Nakama One,One,Hiragana,,,U,う
Nakama One,One,Hiragana,,,E,え
Nakama One,One,Hiragana,,,O,お
Nakama One,One,Hiragana,,,Ka,か
Nakama One,One,Hiragana,,,Ki,き
Nakama One,One,Hiragana,,,Ku,く
Nakama One,One,Hiragana,,,Ke,け
Nakama One,One,Hiragana,,,Ko,こ
Nakama One,One,Hiragana,,,Sa,さ
Nakama One,One,Hiragana,,,Shi,し
Nakama One,One,Hiragana,,,Su,す
Nakama One,One,Hiragana,,,Se,せ
Nakama One,One,Hiragana,,,So,そ
Nakama One,One,Hiragana,,,Ta,た
Nakama One,One,Hiragana,,,Chi,ち
Nakama One,One,Hiragana,,,Tsu,つ
Nakama One,One,Hiragana,,,Te,て
Nakama One,One,Hiragana,,,To,と
Nakama One,One,Hiragana,,,Na,な
Nakama One,One,Hiragana,,,Ni,に
Nakama One,One,Hiragana,,,Nu,ぬ
Nakama One,One,Hiragana,,,Ne,ね
Nakama One,One,Hiragana,,,No,の
Nakama One,One,Hiragana,,,Ha,は
Nakama One,One,Hiragana,,,Hi,ひ
Nakama One,One,Hiragana,,,Fu/hu,ふ
Nakama One,One,Hiragana,,,He,へ
Nakama One,One,Hiragana,,,Ho,ほ
Nakama One,One,Hiragana,,,Ma,ま
Nakama One,One,Hiragana,,,Mi,み
Nakama One,One,Hiragana,,,Mu,む
Nakama One,One,Hiragana,,,Me,め
Nakama One,One,Hiragana,,,Mo,も
Nakama One,One,Hiragana,,,Ya,や
Nakama One,One,Hiragana,,,Yu,ゆ
Nakama One,One,Hiragana,,,Yo,よ
Nakama One,One,Hiragana,,,Ra,ら
Nakama One,One,Hiragana,,,Ri,り
Nakama One,One,Hiragana,,,Ru,る
Nakama One,One,Hiragana,,,Re,れ
Nakama One,One,Hiragana,,,Ro,ろ
Nakama One,One,Hiragana,,,Wa,わ
Nakama One,One,Hiragana,,,O (wo),を
Nakama One,One,Hiragana,,,N,ん
Nakama One,One,Hiragana,,,Ga,が
Nakama One,One,Hiragana,,,Gi,ぎ
Nakama One,One,Hiragana,,,Gu,ぐ
Nakama One,One,Hiragana,,,Ge,げ
Nakama One,One,Hiragana,,,Go,ご
Nakama One,One,Hiragana,,,Za,ざ
Nakama One,One,Hiragana,,,Ji,じ
Nakama One,One,Hiragana,,,Zu,ず
Nakama One,One,Hiragana,,,Ze,ぜ
Nakama One,One,Hiragana,,,Zo,ぞ
Nakama One,One,Hiragana,,,Da,だ
Nakama One,One,Hiragana,,,Di,ぢ
Nakama One,One,Hiragana,,,Du,づ
Nakama One,One,Hiragana,,,De,で
Nakama One,One,Hiragana,,,Do,ど
Nakama One,One,Hiragana,,,Ba,ば
Nakama One,One,Hiragana,,,Bi,び
Nakama One,One,Hiragana,,,Bu,ぶ
Nakama One,One,Hiragana,,,Be,べ
Nakama One,One,Hiragana,,,Bo,ぼ
Nakama One,One,Hiragana,,,Pa,ぱ
Nakama One,One,Hiragana,,,Pi,ぴ
Nakama One,One,Hiragana,,,Pu,ぷ
Nakama One,One,Hiragana,,,Pe,ぺ
Nakama One,One,Hiragana,,,Po,ぽ
Nakama One,One,Hiragana,,,Kya,きゃ
Nakama One,One,Hiragana,,,Kyu,きゅ
Nakama One,One,Hiragana,,,Kyo,きょ
Nakama One,One,Hiragana,,,Sha,しゃ
Nakama One,One,Hiragana,,,Shu,しゅ
Nakama One,One,Hiragana,,,Sho,しょ
Nakama One,One,Hiragana,,,Cha,ちゃ
Nakama One,One,Hiragana,,,Chu,ちゅ
Nakama One,One,Hiragana,,,Cho,ちょ
Nakama One,One,Hiragana,,,Nya,にゃ
Nakama One,One,Hiragana,,,Nyu,にゅ
Nakama One,One,Hiragana,,,Nyo,にょ
Nakama One,One,Hiragana,,,Hia,ひゃ
Nakama One,One,Hiragana,,,Ryu,ひゅ
Nakama One,One,Hiragana,,,Hyo,ひょ
Nakama One,One,Hiragana,,,Mia,みゃ
Nakama One,One,Hiragana,,,Myu,みゅ
Nakama One,One,Hiragana,,,Myo,みょ
Nakama One,One,Hiragana,,,Rya,りゃ
Nakama One,One,Hiragana,,,Ryu,りゅ
Nakama One,One,Hiragana,,,Ryo,りょ
Nakama One,One,Hiragana,,,Gya,ぎゃ
Nakama One,One,Hiragana,,,Gyu,ぎゅ
Nakama One,One,Hiragana,,,Gyo,ぎょ
Nakama One,One,Hiragana,,,Ja,じゃ
Nakama One,One,Hiragana,,,Ju,じゅ
Nakama One,One,Hiragana,,,Jo,じょ
Nakama One,One,Hiragana,,,Bya,びゃ
Nakama One,One,Hiragana,,,Byu,びゅ
Nakama One,One,Hiragana,,,Byo,びょ
Nakama One,One,Hiragana,,,Pya,ぴゃ
Nakama One,One,Hiragana,,,Pyu,ぴゅ
Nakama One,One,Hiragana,,,Pyo,ぴょ
Nakama One,Two,Katakana,,,あ,ア
Nakama One,Two,Katakana,,,い,イ
Nakama One,Two,Katakana,,,う,ウ
Nakama One,Two,Katakana,,,え,エ
Nakama One,Two,Katakana,,,お,オ
Nakama One,Two,Katakana,,,か,カ
Nakama One,Two,Katakana,,,き,キ
Nakama One,Two,Katakana,,,く,ク
Nakama One,Two,Katakana,,,け,ケ
Nakama One,Two,Katakana,,,こ,コ
Nakama One,Two,Katakana,,,さ,サ
Nakama One,Two,Katakana,,,し,シ
Nakama One,Two,Katakana,,,す,ス
Nakama One,Two,Katakana,,,せ,セ
Nakama One,Two,Katakana,,,そ,ソ
Nakama One,Two,Katakana,,,た,タ
Nakama One,Two,Katakana,,,ち,チ
Nakama One,Two,Katakana,,,つ,ツ
Nakama One,Two,Katakana,,,て,テ
Nakama One,Two,Katakana,,,と,ト
Nakama One,Two,Katakana,,,な,ナ
Nakama One,Two,Katakana,,,に,ニ
Nakama One,Two,Katakana,,,ぬ,ヌ
Nakama One,Two,Katakana,,,ね,ネ
Nakama One,Two,Katakana,,,の,ノ
Nakama One,Two,Katakana,,,は,ハ
Nakama One,Two,Katakana,,,ひ,ヒ
Nakama One,Two,Katakana,,,ふ,フ
Nakama One,Two,Katakana,,,へ,ヘ
Nakama One,Two,Katakana,,,ほ,ホ
Nakama One,Two,Katakana,,,ま,マ
Nakama One,Two,Katakana,,,み,ミ
Nakama One,Two,Katakana,,,む,ム
Nakama One,Two,Katakana,,,め,メ
Nakama One,Two,Katakana,,,も,モ
Nakama One,Two,Katakana,,,や,ヤ
Nakama One,Two,Katakana,,,ゆ,ユ
Nakama One,Two,Katakana,,,よ,ヨ
Nakama One,Two,Katakana,,,ら,ラ
Nakama One,Two,Katakana,,,り,リ
Nakama One,Two,Katakana,,,る,ル
Nakama One,Two,Katakana,,,れ,レ
Nakama One,Two,Katakana,,,ろ,ロ
Nakama One,Two,Katakana,,,わ,ワ
Nakama One,Two,Katakana,,,ん,ン
Nakama One,Four,Kanji,おお（きい）,ダイ,"big,large",大
Nakama One,Four,Kanji,まな（ぶ）,ガク・ガッ,"to study, learn",学
Nakama One,Four,Kanji,,コウ,school,校
Nakama One,Four,Kanji,さき,セン,"ahead, previous",先
Nakama One,Four,Kanji,なま・う（まれる）,セイ,"life, to live",生
Nakama One,Four,Kanji Words,,,Big,大きい
Nakama One,Four,Kanji Words,,,School,学校
Nakama One,Four,Kanji Words,,,College,大学
Nakama One,Four,Kanji Words,,,Student,学生
Nakama One,Four,Kanji Words,,,College student,大学生
Nakama One,Four,Kanji Words,,,Teacher,先生
Nakama One,Five,Kanji,やま,サン・ザン,mountain,山
Nakama One,Five,Kanji,かわ・がわ,セン,river,川
Nakama One,Five,Kanji,た・だ,デン,"rice paddy",田
Nakama One,Five,Kanji,ひと,ジン・ニン,person,人
Nakama One,Five,Kanji,うえ・かみ・あ（がる）,ジョウ,"on, up, above",上
Nakama One,Five,Kanji,なか,チュウ,"in, middle, center",中
Nakama One,Five,Kanji,した・くだ（さい）,カ・ゲ,"under, below",下
Nakama One,Five,Kanji,ちい（さい）,ショウ,Small,小
Nakama One,Five,Kanji,ひ・び,ニチ・ニ・ジツ・カ,"sun, day",日
Nakama One,Five,Kanji,もと,ホン・ボン・ポン,"root, book",本
Nakama One,Five,Kanji Words,,,Yamada,山田
Nakama One,Five,Kanji Words,,,Yamakawa,山川
Nakama One,Five,Kanji Words,,,Person,人
Nakama One,Five,Kanji Words,,,Japanese (nationality; not language),日本人
Nakama One,Five,Kanji Words,,,"Middle school, Junior high school",中学校
Nakama One,Five,Kanji Words,,,Small,小さい
Nakama One,Five,Kanji Words,,,Japan,日本
Nakama One,Five,Kanji Words,,,Book,本
Nakama One,Five,Kanji Words,,,Please write,かいて下さい
Nakama One,Six,Kanji,いま,コン,now,今
Nakama One,Six,Kanji,わたし・わたくし,シ,"I; private",私
Nakama One,Six,Kanji,つき,ゲツ・ガツ,"moon, month",月
Nakama One,Six,Kanji,ひ,カ,"fire",火
Nakama One,Six,Kanji,みず,スイ,water,水
Nakama One,Six,Kanji,き,モク,tree,木
Nakama One,Six,Kanji,かね,キン,"gold, money, metal",金
Nakama One,Six,Kanji,つち,ト・ド,"earth, soil, ground",土
Nakama One,Six,Kanji,,ヨウ,day of the week,曜
Nakama One,Six,Kanji,なに・なん,,what,何
Nakama One,Six,Kanji,,シュウ,week,週
Nakama One,Six,Kanji,すえ,マツ,end,末
Nakama One,Six,Kanji,やす（む）,キュウ,to rest,休
Nakama One,Six,Kanji Words,,,Now,今
Nakama One,Six,Kanji Words,,,Today,今日
Nakama One,Six,Kanji Words,,,This week,今週
Nakama One,Six,Kanji Words,,,I (males and females),私
Nakama One,Six,Kanji Words,,,"Moon, Month",月
Nakama One,Six,Kanji Words,,,Monday,月曜日
